PSNR_noise: 20.6461
window sigma    PSNR
     3   0.1     20.6461
     3   0.6     20.6461
     3   1.1     20.6462
     3   1.6     20.6478
     3   2.1     20.6524
     3   2.6     20.6572
     3   3.1     20.6664
     3   3.6     20.6754
     3   4.1     20.6918
     3   4.6     20.7088
     3   5.1     20.7289
     3   5.6     20.7521
     3   6.1     20.7805
     3   6.6     20.8137
     3   7.1     20.8489
     3   7.6     20.8866
     3   8.1     20.9289
     3   8.6     20.9743
     3   9.1     21.0251
     3   9.6     21.0781
     3  10.1     21.1333
     3  10.6     21.1924
     3  11.1     21.2553
     3  11.6     21.3211
     3  12.1     21.3896
     3  12.6       21.46
     3  13.1     21.5335
     3  13.6     21.6094
     3  14.1     21.6875
     3  14.6     21.7677
     3  15.1     21.8497
     3  15.6     21.9333
     3  16.1     22.0187
     3  16.6     22.1055
     3  17.1     22.1936
     3  17.6     22.2828
     3  18.1      22.373
     3  18.6     22.4636
     3  19.1     22.5552
     3  19.6     22.6469
     3  20.1     22.7389
     3  20.6     22.8315
     3  21.1     22.9238
     3  21.6     23.0159
     3  22.1     23.1078
     3  22.6     23.1993
     3  23.1     23.2905
     3  23.6     23.3809
     3  24.1     23.4708
     3  24.6     23.5596
     3  25.1     23.6472
     3  25.6     23.7344
     3  26.1     23.8205
     3  26.6     23.9049
     3  27.1     23.9882
     3  27.6       24.07
     3  28.1     24.1504
     3  28.6     24.2294
     3  29.1     24.3068
     3  29.6     24.3826
     3  30.1      24.457
     3  30.6     24.5297
     3  31.1     24.6003
     3  31.6     24.6695
     3  32.1     24.7369
     3  32.6     24.8024
     3  33.1     24.8657
     3  33.6      24.928
     3  34.1      24.988
     3  34.6     25.0464
     3  35.1     25.1031
     3  35.6     25.1577
     3  36.1     25.2107
     3  36.6     25.2622
     3  37.1     25.3112
     3  37.6      25.359
     3  38.1      25.405
     3  38.6     25.4488
     3  39.1     25.4914
     3  39.6      25.532
     5   0.1     20.6461
     5   0.6     20.6461
     5   1.1     20.6468
     5   1.6     20.6519
     5   2.1     20.6607
     5   2.6     20.6723
     5   3.1     20.6897
     5   3.6     20.7095
     5   4.1     20.7365
     5   4.6     20.7666
     5   5.1     20.8013
     5   5.6     20.8403
     5   6.1      20.885
     5   6.6     20.9344
     5   7.1     20.9876
     5   7.6     21.0449
     5   8.1     21.1066
     5   8.6     21.1725
     5   9.1     21.2427
     5   9.6     21.3165
     5  10.1     21.3935
     5  10.6     21.4742
     5  11.1     21.5582
     5  11.6     21.6453
     5  12.1      21.735
     5  12.6     21.8275
     5  13.1     21.9224
     5  13.6     22.0197
     5  14.1     22.1188
     5  14.6     22.2198
     5  15.1     22.3225
     5  15.6     22.4264
     5  16.1     22.5316
     5  16.6      22.638
     5  17.1     22.7449
     5  17.6     22.8525
     5  18.1     22.9603
     5  18.6     23.0687
     5  19.1     23.1766
     5  19.6     23.2848
     5  20.1     23.3928
     5  20.6     23.4998
     5  21.1     23.6064
     5  21.6      23.712
     5  22.1      23.817
     5  22.6     23.9204
     5  23.1     24.0228
     5  23.6     24.1237
     5  24.1     24.2233
     5  24.6     24.3212
     5  25.1     24.4176
     5  25.6     24.5113
     5  26.1     24.6044
     5  26.6     24.6949
     5  27.1      24.783
     5  27.6     24.8691
     5  28.1     24.9533
     5  28.6      25.035
     5  29.1     25.1143
     5  29.6     25.1911
     5  30.1     25.2658
     5  30.6     25.3379
     5  31.1     25.4078
     5  31.6      25.475
     5  32.1     25.5396
     5  32.6     25.6019
     5  33.1     25.6615
     5  33.6     25.7188
     5  34.1     25.7736
     5  34.6     25.8254
     5  35.1     25.8751
     5  35.6     25.9226
     5  36.1     25.9675
     5  36.6     26.0101
     5  37.1     26.0499
     5  37.6     26.0881
     5  38.1     26.1237
     5  38.6     26.1569
     5  39.1     26.1881
     5  39.6      26.217
     7   0.1     20.6461
     7   0.6      20.646
     7   1.1     20.6481
     7   1.6     20.6558
     7   2.1     20.6678
     7   2.6     20.6842
     7   3.1     20.7061
     7   3.6     20.7319
     7   4.1     20.7643
     7   4.6     20.8007
     7   5.1      20.842
     7   5.6      20.888
     7   6.1     20.9392
     7   6.6     20.9953
     7   7.1     21.0559
     7   7.6     21.1203
     7   8.1     21.1893
     7   8.6     21.2622
     7   9.1     21.3393
     7   9.6       21.42
     7  10.1     21.5039
     7  10.6     21.5914
     7  11.1     21.6818
     7  11.6     21.7755
     7  12.1     21.8715
     7  12.6     21.9698
     7  13.1     22.0707
     7  13.6     22.1733
     7  14.1     22.2776
     7  14.6     22.3836
     7  15.1     22.4909
     7  15.6     22.5989
     7  16.1     22.7082
     7  16.6      22.818
     7  17.1     22.9282
     7  17.6     23.0387
     7  18.1     23.1491
     7  18.6     23.2595
     7  19.1     23.3695
     7  19.6     23.4791
     7  20.1      23.588
     7  20.6     23.6958
     7  21.1     23.8028
     7  21.6     23.9083
     7  22.1     24.0132
     7  22.6     24.1159
     7  23.1     24.2171
     7  23.6     24.3165
     7  24.1     24.4144
     7  24.6     24.5102
     7  25.1      24.604
     7  25.6     24.6955
     7  26.1     24.7848
     7  26.6     24.8717
     7  27.1     24.9566
     7  27.6     25.0387
     7  28.1     25.1185
     7  28.6     25.1951
     7  29.1     25.2695
     7  29.6     25.3418
     7  30.1     25.4109
     7  30.6     25.4771
     7  31.1      25.541
     7  31.6     25.6018
     7  32.1     25.6601
     7  32.6     25.7155
     7  33.1     25.7685
     7  33.6     25.8178
     7  34.1     25.8654
     7  34.6     25.9101
     7  35.1     25.9524
     7  35.6     25.9919
     7  36.1     26.0286
     7  36.6     26.0628
     7  37.1     26.0947
     7  37.6     26.1239
     7  38.1     26.1506
     7  38.6     26.1748
     7  39.1     26.1972
     7  39.6     26.2169
