PSNR_noise: 20.6461
window sigma    PSNR
     3   0.1     25.7045
     3   0.6     25.7045
     3   1.1     25.7081
     3   1.6     25.7224
     3   2.1     25.7427
     3   2.6     25.7692
     3   3.1     25.8033
     3   3.6      25.842
     3   4.1      25.885
     3   4.6     25.9291
     3   5.1      25.974
     3   5.6     26.0183
     3   6.1     26.0619
     3   6.6     26.1031
     3   7.1     26.1418
     3   7.6     26.1777
     3   8.1     26.2104
     3   8.6     26.2391
     3   9.1      26.265
     3   9.6     26.2871
     3  10.1     26.3057
     3  10.6     26.3214
     3  11.1     26.3342
     3  11.6     26.3436
     3  12.1       26.35
     3  12.6     26.3544
     3  13.1     26.3562
     3  13.6     26.3558
     3  14.1      26.353
     3  14.6     26.3485
     3  15.1     26.3421
     3  15.6      26.334
     3  16.1     26.3243
     3  16.6      26.314
     3  17.1     26.3024
     3  17.6     26.2896
     3  18.1     26.2763
     3  18.6     26.2614
     3  19.1     26.2465
     3  19.6     26.2308
     3  20.1     26.2144
     3  20.6     26.1977
     3  21.1     26.1807
     3  21.6     26.1632
     3  22.1     26.1455
     3  22.6     26.1278
     3  23.1     26.1098
     3  23.6     26.0918
     3  24.1     26.0735
     3  24.6     26.0552
     3  25.1     26.0373
     3  25.6     26.0192
     3  26.1     26.0012
     3  26.6     25.9832
     3  27.1     25.9654
     3  27.6     25.9475
     3  28.1       25.93
     3  28.6     25.9127
     3  29.1     25.8953
     3  29.6     25.8783
     3  30.1     25.8613
     3  30.6     25.8444
     3  31.1     25.8281
     3  31.6      25.812
     3  32.1     25.7961
     3  32.6     25.7804
     3  33.1     25.7649
     3  33.6     25.7494
     3  34.1     25.7346
     3  34.6     25.7195
     3  35.1      25.705
     3  35.6     25.6907
     3  36.1     25.6766
     3  36.6      25.663
     3  37.1     25.6492
     3  37.6     25.6359
     3  38.1     25.6228
     3  38.6     25.6098
     3  39.1     25.5973
     3  39.6     25.5849
     5   0.1     25.7045
     5   0.6     25.7046
     5   1.1     25.7135
     5   1.6     25.7381
     5   2.1     25.7717
     5   2.6     25.8142
     5   3.1     25.8663
     5   3.6     25.9242
     5   4.1     25.9864
     5   4.6     26.0517
     5   5.1     26.1177
     5   5.6      26.183
     5   6.1     26.2473
     5   6.6     26.3079
     5   7.1     26.3656
     5   7.6     26.4185
     5   8.1     26.4667
     5   8.6       26.51
     5   9.1     26.5482
     5   9.6     26.5813
     5  10.1     26.6091
     5  10.6     26.6318
     5  11.1       26.65
     5  11.6     26.6635
     5  12.1     26.6725
     5  12.6     26.6773
     5  13.1     26.6783
     5  13.6     26.6756
     5  14.1     26.6697
     5  14.6     26.6605
     5  15.1     26.6487
     5  15.6     26.6347
     5  16.1     26.6176
     5  16.6     26.5983
     5  17.1     26.5771
     5  17.6     26.5548
     5  18.1     26.5304
     5  18.6      26.505
     5  19.1     26.4781
     5  19.6     26.4503
     5  20.1     26.4216
     5  20.6     26.3919
     5  21.1     26.3616
     5  21.6     26.3306
     5  22.1     26.2991
     5  22.6     26.2674
     5  23.1     26.2351
     5  23.6     26.2024
     5  24.1     26.1701
     5  24.6      26.137
     5  25.1     26.1041
     5  25.6      26.071
     5  26.1     26.0381
     5  26.6     26.0055
     5  27.1     25.9725
     5  27.6       25.94
     5  28.1     25.9072
     5  28.6     25.8749
     5  29.1     25.8427
     5  29.6     25.8106
     5  30.1      25.779
     5  30.6     25.7474
     5  31.1     25.7164
     5  31.6     25.6854
     5  32.1     25.6548
     5  32.6     25.6246
     5  33.1     25.5943
     5  33.6     25.5645
     5  34.1     25.5357
     5  34.6     25.5065
     5  35.1     25.4779
     5  35.6     25.4497
     5  36.1     25.4213
     5  36.6      25.394
     5  37.1      25.367
     5  37.6     25.3397
     5  38.1     25.3134
     5  38.6     25.2873
     5  39.1     25.2616
     5  39.6     25.2361
     7   0.1     25.7045
     7   0.6     25.7047
     7   1.1     25.7169
     7   1.6     25.7472
     7   2.1     25.7884
     7   2.6     25.8396
     7   3.1     25.8998
     7   3.6     25.9662
     7   4.1     26.0376
     7   4.6     26.1123
     7   5.1     26.1879
     7   5.6     26.2635
     7   6.1     26.3365
     7   6.6     26.4066
     7   7.1     26.4728
     7   7.6     26.5345
     7   8.1     26.5904
     7   8.6     26.6403
     7   9.1     26.6847
     7   9.6     26.7227
     7  10.1     26.7552
     7  10.6     26.7811
     7  11.1     26.8018
     7  11.6      26.817
     7  12.1     26.8267
     7  12.6     26.8311
     7  13.1     26.8317
     7  13.6     26.8271
     7  14.1     26.8189
     7  14.6     26.8069
     7  15.1     26.7915
     7  15.6      26.773
     7  16.1     26.7516
     7  16.6     26.7278
     7  17.1      26.701
     7  17.6     26.6726
     7  18.1     26.6428
     7  18.6     26.6106
     7  19.1     26.5771
     7  19.6     26.5423
     7  20.1     26.5062
     7  20.6     26.4696
     7  21.1     26.4318
     7  21.6     26.3928
     7  22.1     26.3534
     7  22.6     26.3137
     7  23.1     26.2731
     7  23.6     26.2326
     7  24.1     26.1914
     7  24.6     26.1509
     7  25.1     26.1092
     7  25.6      26.068
     7  26.1     26.0265
     7  26.6     25.9849
     7  27.1     25.9432
     7  27.6     25.9025
     7  28.1     25.8609
     7  28.6     25.8204
     7  29.1     25.7798
     7  29.6     25.7389
     7  30.1     25.6991
     7  30.6      25.659
     7  31.1     25.6196
     7  31.6       25.58
     7  32.1     25.5412
     7  32.6     25.5021
     7  33.1      25.464
     7  33.6     25.4264
     7  34.1     25.3888
     7  34.6     25.3516
     7  35.1     25.3149
     7  35.6     25.2786
     7  36.1     25.2426
     7  36.6      25.207
     7  37.1      25.172
     7  37.6     25.1376
     7  38.1     25.1033
     7  38.6     25.0693
     7  39.1     25.0359
     7  39.6      25.003
