PSNR_noise: 20.6461
window sigma    PSNR
     3   0.1     20.6461
     3   0.2     20.6461
     3   0.3      20.773
     3   0.4     21.9821
     3   0.5      24.053
     3   0.6     25.3623
     3   0.7     25.7045
     3   0.8     25.6858
     3   0.9     25.5774
     3     1     25.4447
     3   1.1     25.3232
     3   1.2     25.2329
     3   1.3     25.1354
     3   1.4     25.0847
     3   1.5     25.0328
     3   1.6     24.9794
     3   1.7     24.9794
     3   1.8     24.9253
     3   1.9     24.9253
     3     2     24.8693
     3   2.1     24.8693
     3   2.2     24.8693
     3   2.3     24.8124
     3   2.4     24.8124
     3   2.5     24.8124
     3   2.6     24.8124
     3   2.7     24.8124
     3   2.8     24.7545
     3   2.9     24.7545
     3     3     24.7545
     3   3.1     24.7545
     3   3.2     24.7545
     3   3.3     24.7545
     3   3.4     24.7545
     3   3.5     24.7545
     3   3.6     24.7545
     3   3.7     24.7545
     3   3.8     24.7545
     3   3.9     24.7545
     3     4     24.7545
     3   4.1     24.7545
     3   4.2     24.6956
     3   4.3     24.6956
     3   4.4     24.6956
     3   4.5     24.6956
     3   4.6     24.6956
     3   4.7     24.6956
     3   4.8     24.6956
     3   4.9     24.6956
     3     5     24.6956
     3   5.1     24.6956
     3   5.2     24.6956
     3   5.3     24.6956
     3   5.4     24.6956
     3   5.5     24.6956
     3   5.6     24.6956
     3   5.7     24.6956
     3   5.8     24.6956
     3   5.9     24.6956
     3     6     24.6956
     3   6.1     24.6956
     3   6.2     24.6956
     3   6.3     24.6956
     3   6.4     24.6956
     3   6.5     24.6956
     3   6.6     24.6956
     3   6.7     24.6956
     3   6.8     24.6956
     3   6.9     24.6956
     3     7     24.6956
     3   7.1     24.6956
     3   7.2     24.6956
     3   7.3     24.6956
     3   7.4     24.6956
     3   7.5     24.6956
     3   7.6     24.6956
     3   7.7     24.6956
     3   7.8     24.6956
     3   7.9     24.6956
     3     8     24.6956
     3   8.1     24.6956
     3   8.2     24.6956
     3   8.3     24.6956
     3   8.4     24.6956
     3   8.5     24.6956
     3   8.6     24.6956
     3   8.7     24.6956
     3   8.8     24.6956
     3   8.9     24.6956
     3     9     24.6956
     3   9.1     24.6956
     3   9.2     24.6956
     3   9.3     24.6956
     3   9.4     24.6956
     3   9.5     24.6956
     3   9.6     24.6956
     3   9.7     24.6956
     3   9.8     24.6956
     3   9.9     24.6956
     3    10     24.6956
     5   0.1     20.6461
     5   0.2     20.6461
     5   0.3      20.773
     5   0.4     21.9821
     5   0.5      24.053
     5   0.6     25.3822
     5   0.7     25.7548
     5   0.8     25.7306
     5   0.9     25.5338
     5     1     25.3139
     5   1.1     25.0395
     5   1.2     24.8361
     5   1.3     24.6314
     5   1.4     24.4721
     5   1.5     24.3068
